ps_number,review_id,rating,title,content,author,date,verified_purchase
PS2121513,89dad0c5868b20a8,5,excellent customer service,The ice maker was the correct model but had some trouble with installation. Customer Service was called and the representative was excellent in supplying information on installation. I will definitely be using Parts Select for all my repair/replace parts in the future.,Karen G,"May 31, 2018",True
PS2121513,56bf1401864c5dce,5,It works,Easy to install,John T,"October 21, 2020",True
PS2121513,cfde661e18b8921c,5,Easy repair,Simple,Adam J,"September 23, 2018",True
PS2121513,0623014f270265af,5,Easy repair works great,Part was as described. Took me about 20 minutes to put in was making ice in about another hour. Works great video helped to install the ice maker correctly. Thanks again,Stephen B,"August 21, 2018",True
PS2121513,9f2fe8192cbeebae,5,No surprises,"I’ve decided the ice maker is an expendable component of the fridge because this is the second one I’ve replaced in the last 4 or so years. That said, the PartSelect model was what was needed, and don’t throw away the old one until you’ve transferred a couple of reusable parts to the new, like the metal arm and wire harness. Hit its stride making ice within a couple of hours.",John F,"August 21, 2018",True
PS2121513,68a05785a2d84d61,5,Easy fix,"Ice maker easy to fix, good price and saved us cost of repairman and/or a new fridge!",Linda D,"August 24, 2018",True
PS11738120,f139c01c86b3453e,5,Work as expected!!! Will recommend it.,"The part was in outstanding condition! Best of all came in fast.easy to install,now my fridge is back in working condition..will purchase again in the future...thank you Partselect.",Marco V,"July 21, 2024",True
PS11738120,8a65ff98abf37da2,5,Easy repair,"The part arrived New, Fast and when I installed. It works perfectly",Walter G,"July 29, 2024",True
PS11738120,bbe025b52b0d9ce9,5,So simple that a caveman could have installed it!,Parts arrive quickly and installed in less than five minutes. Thanks.,Joseph W,"November 22, 2021",True
PS11738120,171690fee1456868,5,Ice Maker,This part was basically a plug and play. Easy installation and works great. I opted for standard shipping which was 7-10 days and it came in two days. Very pleased.,Barbara S,"April 15, 2019",True
PS11738120,12a53734e9d67194,5,Perfect Part: worked as expected,"Replacement level of difficulty was a 6 out of 10. Used Whirlpool you-tube video as an initial guide to remove most of icemaker apparatus and freezer door parts. Old icemaker part could not be easily removed. However, replacement part--because I took multiple pix of old part removal--was very quick. 12 hours later--ice!!",William S,"January 7, 2023",True
PS11738120,4581c4fa13b87365,5,Easy Repair,Works great,Brett H,"January 11, 2023",True
PS11738120,c3b29f268528672b,5,"One, two, three and done","Exactly what was needed, arrived on time. Perfect fit and repair.",Barry L,"September 22, 2021",True
PS11738120,81d0e38fb53d217b,5,Ice maker,Easy and works great,Ed P,"November 18, 2022",True
PS11738120,20939a74c0409693,5,Very easy repair. Replace the icemaker not the refrigerator!,The part was easy to order and received quickly. The part fixed the problem. I saved the cost and hassle of a new refrigerator by installing the replacement icemaker. I would do it again.,MARK S,"January 12, 2023",True
PS11738120,8a35b308649d719c,5,Ice Maker,Fit perfect. Been up and running for a week now. Thanks,Vincent V,"June 24, 2019",True
PS884734,c20ec69ecbc15ce1,5,Great light bulb!,Light bulb worked from the get go.Last bulb from a different supplier went out as soon as plugged in.,Debra H,"July 25, 2018",True
PS884734,9543b65776852ad7,5,easy repair and great part,came very fast and works great,Steve T,"January 31, 2018",True
PS884734,11564f7219c5195d,5,Appliances Light Bulbs,Easy to install.,Michelle L,"September 11, 2021",True
PS884734,4435fafc2881ae5f,5,"Economical, fast de;ivery and the right part!","Had no idea the oven light bulb could be changed or where to buy one. Partselect not only had the bulb, it was inexpensive and they had directions for changing it!",Diane S,"February 11, 2018",True
PS884734,7118207bd0010080,5,Easy order,I had to order a list that day so I put the light bulb on it. Saved me so much time and effort especially during the pandemic. Fit perfect the first time and came per schedule. Couldn't ask for more.,Carol L,"September 15, 2021",True
PS884734,c88912123bcf00df,5,Easy repair - was not able to obtain the part locally.,Fits and works perfectly.,Mary L M,"April 12, 2020",True
PS884734,d5d32c3463c7b26c,5,Light bulb,Fast service,Jimmy F,"September 3, 2019",True
PS884734,e8e7532595284914,5,A light bulb,The bulb arrived in perfect condition and it was installed in seconds.,Linda K,"February 14, 2018",True
PS884734,5e64534fda68a816,5,Easy repair,"Super easy 2 swap out the old, with the new.",Tim B,"January 22, 2021",True
PS884734,581daac82f47a60e,5,Great Quality Part,I finally got the right bulb for my oven after trying to find at one of the big box stores. I can cook and bake with light !??,Helen M D,"January 24, 2021",True
PS11722126,c1860ad41fdcbb26,5,Exactly what we needed,This product was the exact part that we needed.,Catherine A,"October 28, 2021",True
PS11722126,1e5f11158c224f4b,5,Filter for frig,Wonderful and easy to replace!,Rhonda M,"August 21, 2018",True
PS11722126,ee327be689747459,5,Excellent customer service!,Received part and customer service follow through was stellar!,Deborah P,"July 25, 2018",True
PS11722126,2f5385db3d89b7e0,5,Couldn't be easier,Easy to install and purchase,Sonia E,"January 8, 2023",True
PS11722126,40ccb20a0239b3cd,5,"Easy repair , part worked as expected","The part was what I ordered , came very quickly , and installed as expected. Thanks",Joe R,"June 10, 2018",True
PS11722126,d9a3dc2cceae8ec8,5,Easy to. Install,Water filter was very easy to install. Do you have a remainder email you could send out in 6 months? Is there a way to recycle used water filters?,Judith T,"November 14, 2018",True
PS11722126,d6f877f557458273,5,Great & easy fix,No problems love your service,Linda L B,"March 2, 2020",True
PS11722126,ee161f1a13b66391,5,replacement filter easy to insert. operated well instantly,"The replacement filter had easy insert instructions and functioned properly right after insert,",Danuta G,"May 1, 2018",True
PS11722126,31e70ebee33e5e4f,5,we did NOT place this order,Please do not send another one again.....,Sonny M,"July 20, 2022",True
PS11722126,a8a5340aa15cb869,5,Easy repair,Fast delivery. Would highly recommend this company to my friends.,Barbara A,"July 8, 2018",True
PS11731608,d97dc28951766b50,5,Perfect replacement part,Part arrived in perfect shape and in mere minutes had it installed.,Sheila K,"January 10, 2025",True
PS11731608,a43bef9c12e44993,5,Easy to repair,"Fast delivery, easy to install.",Yvonne H,"July 25, 2018",True
PS11731608,56b9a2251510ac01,5,worked great,very satisfied,Daniel G,"July 24, 2018",True
PS11731608,36608073d29a41bf,5,"Quick install, good price","The drawer holder part just slipped into the groove in the shelf. Very easy. Quick delivery, decent price. Here's hoping it holds up.",Maryjo M,"March 13, 2020",True
PS11731608,bd1f1a7f0f1ce315,5,Meat Drawer Shelf,"Part fit perfectly and the Shelf is now back in place. Thank you, Estelle B. Parizek",Estelle P,"September 16, 2021",True
PS11731608,ff61702ec7bf2768,5,Easy repair,Was what I needed.,Jean F,"November 21, 2019",True
PS11731608,d0dc23c5ed232674,5,Meat draw replacement,"The meat draw replacement was perfect, easy to install. The service is great. Shipped immediately.",Tari F,"June 6, 2023",True
PS11731608,cd0d10bf2e353326,5,Cheese drawer track,"Part that arrived was correct, well packed and undamaged. Thanks for prompt shipping",Marsha H,"July 25, 2021",True
PS11731608,032b84ec8033224e,5,Exactly the correct part! Packed perfectly!,"The part was just what the doctor ordered after trying to ""duct-tape"" repair it. Slid right in and voila! I was good to go!",David Fumarola S,"February 27, 2018",True
PS11731608,a1324f4c9ff2b171,5,Exact part and easy repair!,"Part came quickly. It was the exact replacement for the broken part. Installing was easy and done quickly ,about 15 minutes, with care and no tools.",Donna K,"April 8, 2021",True
PS12728638,97bebdfb21ff5379,5,Works Perfect,"Easy to find, fast shipping.",Jan S,"July 29, 2024",True
PS12728638,9da9ef506b4a2149,5,Speedy delivery after quick to find. Great fix,"After matching the part with the model, it was a breeze to order. It was a quick install with ease. Thank you very much for a hassle free experience.",Loretta M,"August 8, 2024",True
PS12728638,0c4ef6634f2fe5be,5,Worked like a charm,"The install video on the site made it super easy to install with confidence, that you are doing it right.",Michael N M,"October 19, 2024",True
PS12728638,18bcd7b96caff703,5,Great product,Fit my fridge like the original.,Leticia M,"December 24, 2024",True
PS12728638,6cb99cfef4bb507e,5,Part was perfect,As described. Went in swiftly and easily,RICHARD G O,"February 2, 2025",True
PS12728638,8e7364c5e5b8c4c9,5,Refrigerator door switch,Was easy to install and works great!,Debra L M,"January 6, 2021",True
PS12728638,965d59e34346d8a3,5,Just Right!,This switch was easy to install and worked immediately. Thanks for your speedy service!,Wende W,"February 26, 2022",True
PS12728638,7824a9a3b3503585,5,perfect so easy,I watched the video and it had all the tricks to change out the part in less than a minute so easy thanks,Brenda C,"March 31, 2023",True
PS12728638,60e3790709953f8c,5,"Perfect fit, easy repair","Works great, made the switch in about 3 minutes.",Mike S,"January 20, 2023",True
PS12728638,4bf0cda435e91dfb,5,Easy repair,It worked perfect,Seth M,"June 20, 2021",True
PS11723190,1562518a34a458ab,5,Easy repair. Got exactly what I needed.,"The refrigerator pantry drawer door cover broke , and I ordered a new one from Part Select. It arrived promptly, and it was in good condition. I will use them again for part replacement.",Thomas B,"November 3, 2024",True
PS11723190,72d9d305e342a61b,5,Fridge Door.,Part came on time and easy to install,Steven B,"November 19, 2024",True
PS11723190,472797343846556b,5,Great part,Always like PARTSELECT - they rock !!,Mike M,"December 11, 2024",True
PS11723190,c38efb738041e350,5,Perfect part,It was the exact part we needed and was shipped fast!,Linda J,"January 29, 2025",True
PS11723190,93f7b8237d302fd0,5,Great Parts Supplier,PartsSelect had the correct part for my fridge. Shipped it quickly. I highly recommend!,Larry D,"July 31, 2018",True
PS11723190,1654a677753b2f54,5,Perfect fit,"Shipped out quickly and was easy to replace, perfect fit",Michael L,"May 10, 2025",True
PS11723190,2f7845beb1cca606,5,Wife is happy again.,The diagrams made it easy to order the correct part. The part arrived quickly. Easy fix.,Rick S,"October 27, 2021",True
PS11723190,026e57ab859a958c,5,Easy repair!,The gal who helped me on the phone was wonderful and helped me find the right part--really appreciated her great customer service!,Lynn B,"September 15, 2019",True
PS11723190,f067458e9cd5a821,5,Good part,Part worked great. Thank you. Video guides are helpful.,Debra L,"June 17, 2019",True
PS11723190,9e138eed01d2e00f,5,"Easy repair, correct part and fit.",The delivery was prompt and exactly what I needed.,David J,"April 21, 2022",True
PS12728638,97bebdfb21ff5379,5,Works Perfect,"Easy to find, fast shipping.",Jan S,"July 29, 2024",True
PS12728638,9da9ef506b4a2149,5,Speedy delivery after quick to find. Great fix,"After matching the part with the model, it was a breeze to order. It was a quick install with ease. Thank you very much for a hassle free experience.",Loretta M,"August 8, 2024",True
PS12728638,0c4ef6634f2fe5be,5,Worked like a charm,"The install video on the site made it super easy to install with confidence, that you are doing it right.",Michael N M,"October 19, 2024",True
PS12728638,18bcd7b96caff703,5,Great product,Fit my fridge like the original.,Leticia M,"December 24, 2024",True
PS12728638,6cb99cfef4bb507e,5,Part was perfect,As described. Went in swiftly and easily,RICHARD G O,"February 2, 2025",True
PS12728638,8e7364c5e5b8c4c9,5,Refrigerator door switch,Was easy to install and works great!,Debra L M,"January 6, 2021",True
PS12728638,965d59e34346d8a3,5,Just Right!,This switch was easy to install and worked immediately. Thanks for your speedy service!,Wende W,"February 26, 2022",True
PS12728638,7824a9a3b3503585,5,perfect so easy,I watched the video and it had all the tricks to change out the part in less than a minute so easy thanks,Brenda C,"March 31, 2023",True
PS12728638,60e3790709953f8c,5,"Perfect fit, easy repair","Works great, made the switch in about 3 minutes.",Mike S,"January 20, 2023",True
PS12728638,4bf0cda435e91dfb,5,Easy repair,It worked perfect,Seth M,"June 20, 2021",True
PS11743502,5363a44906a0fcf1,5,It works,just like new.,Jerome G,"September 14, 2021",True
PS11743502,fd72850eb171bb86,5,Exact Replacement,This was an exact replacement as ordered. It arrived very well packaged and protected. Delivery was very fast.,Greg N,"November 17, 2022",True
PS11743502,2583f9caa4ff7112,5,Exact replacement,This was exactly what I needed to replace my broken drawer. The price and service were great.,Enid B,"November 18, 2022",True
PS11743502,7001a3f7553f6fa7,5,OEM Crisper drawer,"Perfect replacement, fast shipping A+",DAVID T,"November 18, 2022",True
PS11743502,3fe5bebefb86fb77,5,Drawer was perfect,Perfect fit,Aline F,"June 21, 2019",True
PS11743502,b665f00ba76f4575,5,Crispet,"Excellent service. Fast, reliable. No problems! Thank you Partselect,",Alex F,"January 20, 2021",True
PS11743502,800925ec7dcd906e,5,Easy to replace,Drawer came quickly. Was very quick and easy to replace.,Susan K,"January 21, 2021",True
PS11743502,9f9cb24a0d1349da,5,Easy replacement,Received new crisper drawer right away. Perfect fit easy repair. Recommend to anyone needing this.,Ken L,"January 20, 2021",True
PS11743502,9ba9480de98747fd,5,Replacement crisper drawer.,Fast delivery. Perfect fit. Reasonable price. Very satisfied.,Richard E,"January 23, 2021",True
PS11743502,6808478130115567,5,Quality replacement crisper drawer,Ordering online was easy. The 2 crisper drawers were delivered in a timely manner. There were good directions for installation. The drawers were a perfect replacement for the broken ones.,STEPHEN F,"April 15, 2020",True
PS12731166,395b990b8d6bdf64,5,Great part,Worked just as noted and installation was easy,John W,"March 25, 2023",True
PS12731166,823d236019e1ec07,5,It was very easy to replace my broken switch.,Everything was as I expected. No problems with this part.,Sung-Su L,"February 27, 2022",True
PS12731166,242d85eebce80b1a,5,Easy works perfect,The part arrived promptly and was an exact fit. Easy to install instructions on Youtube.,Tammy P,"November 21, 2019",True
PS12731166,eef41edacf17a70d,5,Works as expected,Part came quickly and in great condition. Was able to install quickly and part works as designed.,Christopher M,"May 3, 2024",True
PS12731166,4346364fd96b0e5e,5,No issues at this time,No issues at this time,Milton F,"August 1, 2023",True
PS12731166,26900e4299996b84,5,Great Part - easy to install - worked!!!,I had broken this part when shutting the refrigerator door. I was unable to use my ice through the door and the light switch stayed off until this part arrived. It was a quick fix and super cheap!,Sarah J,"March 11, 2020",True
PS12731166,215ab055836c3bc0,5,Switch replacement,The ordering was easy and replacement easily.,Jerilynn H,"December 4, 2019",True
PS12731166,bb297cb6130833cc,5,LIGHT SWITCH,SIMPLE ORDER - CAME AS EXPECTED - FOLLOWED THE VIDEO INSTUCTIONS - WORKED AS EXPECTED,JAMES B,"December 5, 2019",True
PS12731166,4748e54599275335,5,Perfect replacement part,From the time I ordered it to the time I received it I was kept updated on his progress of delivery. The part was packaged well came completely intact fantastic service from the company,Mark H,"May 26, 2021",True
PS12731166,bdc3923d8192b877,5,L h door light switch,It worked great and hope it lasts better than the original POS. No offense to you all.,Rick B,"June 12, 2022",True
PS11759516,49a89307ac4bab50,5,Perfect part and easy installation,"Part was as advertised and was easy to install, recommend everyone to view the video prior to installation. Did take a few days for the rubber to fully expand but seals better than the original gasket.",Timmy B,"March 21, 2023",True
PS11759516,e4862d99b5d2a316,5,door gasket,"Easy to install after viewing video, but seems to cost to much.",JAMES B,"December 1, 2022",True
PS11759516,212d07687230eaaf,5,"So easy to replace, great part, saved a bunch of $$$ doing it myself.",The part came quickly and was in perfect shape.,Julie V,"September 18, 2021",True
PS11759516,8fde81bdfc99c33b,5,Replacing a bad door gasket,It was affordable and easy to replace.,Peter M,"April 1, 2022",True
PS11759516,fb14420945593cb0,5,gasket to refrigerator doors,The part fit great and was very easy to install! Thanks,Melissa F,"April 25, 2018",True
PS11759516,9bb1344aef5c0e29,5,"It was easy to install, looks good and works as expected.",The part was promptly shipped and delivered. Sturdy packaging.,Anders J,"August 13, 2023",True
PS11759516,68305f76824f8c3b,5,Easy Repair,Frig looks brand new with door seal.,Bobbi L,"December 19, 2020",True
PS11759516,08a5aa81e587e163,5,Easy Repair,Good condition and an easy fix.,June S,"December 5, 2018",True
PS11759516,8361460a0cead309,5,easy repair.,"The door gaskets fit perfect, replacing was easy.",ANDREW C,"November 14, 2021",True
PS11759516,bd42019cc2baa18c,5,Perfect fit and easy to install,Best price that I found and shipped quickly.,William M,"May 29, 2020",True
PS11738573,43d235f284593108,5,exactly what I needed,"Easy to order, and easy to install.",Don S,"September 27, 2018",True
PS11738573,070131d9c9a8d803,5,Correct part arrived promptly and fit perfectly.,"Watched one of your videos on line which actually helped me identify the correct part to order. Once it arrived, I followed the installation video again and installed it myself. My reputation as a ""handy nanny"" has once again been reaffirmed! Thanks PartSelect! :)",Jan S,"January 31, 2018",True
PS11738573,89758e33f39ba7c3,5,Quick fix,5 minutes after receiving part it was installed with no issues,Matthew U,"February 2, 2018",True
PS11738573,8c31e7946a846937,5,Easy repair,Quick install and fits perfectly... instructional video from partselect helped a lot.,Marc L,"February 2, 2018",True
PS11738573,eaab038e7f97af95,5,Replacement part fits great,"The replacement part fits great, plus the video makes it easy. However, there is an overall design flaw on the tab which the shelf lip door attaches to. Seems many people have the same problem as these tab breaks after a few years. In my case it took four years.",Jim M,"January 31, 2018",True
PS11738573,b45a1b4bec220330,5,Thank you,Quick delivery and repair is done!,James W,"February 26, 2022",True
PS11738573,b23bb555179a8b60,5,Perfect part for our aging fridge- and fast shopping!,"Great to be able to get a part for our 20+ year old refrigerator, thank you!",Leslie B,"November 18, 2022",True
PS11738573,7b06f1a7fb81fa1a,5,Great,Exactly what I needed,Calvin V,"February 28, 2022",True
PS11738573,6585b10f33abbbb2,5,"Easy repair, fit perfectly","Received part in 2 days, back in working order!",Ed P,"June 20, 2019",True
PS11738573,80613acd05319573,5,Perfect,Easy to find which part i needed and order it. Arruved quickly. Installed easily.,David E,"January 22, 2021",True
PS11743531,fa0aa59023ed60da,5,Great,"Fit perfectly, quick shipment.",Stephen R,"June 17, 2021",True
PS11743531,d78841aaef6ec71d,5,Repair done,Once I received all the parts I ordered all went well. Thank you for your good service.,Tim A,"September 26, 2018",True
PS11743531,a4670a0dd7eb95f7,5,"Super, super simple repair!","After reading reviews of how simple and successful folks were replacing the pivot block and vertical flipper, I can confirm that it's the easiest thing in the world! The parts arrived in less than 24 hours, too! I will definitely rely on this site for future projects. Thanks to all who left reviews!",Sandra B,"April 10, 2021",True
PS11743531,b1c63dd59b505d44,5,Exactly what I needed,"Easy to order, arrived promptly. Will be my “go to” parts house.",Stephen M,"May 10, 2018",True
PS11743531,58ba7370aebfdf21,5,Easy repair,Awesome deal easy fix glad I did it .,Georges Garage I,"May 4, 2019",True
PS11743531,3b12f26d3e0ddda5,5,"Great part, exact fit...","Perfect fit, arrived on time and I will not hesitate to continue to do business with partselect",Baron D,"August 17, 2019",True
PS11743531,5cb61a02e5bec220,5,Easy repair,Part worked perfectly.,Jan C,"July 7, 2020",True
PS11743531,ad7eb45cdf512771,5,Worked as expected,Part came very quickly and was exactly what I needed. Thanks,Deborah Y,"May 3, 2023",True
PS11743531,cf826fb5035d33d8,5,Good part,Good part,Daniel G,"September 24, 2019",True
PS11743531,33600ae88160f509,5,Easy repair,Ordered the part Thursday evening. Received it Saturday morning. Easy install.,David R,"January 13, 2019",True
PS11743638,65a127be1ef7dfe2,5,Easy Repair,"The part came quickly, and fit perfectly. The appliance is working again.",Mary Jean S,"May 26, 2018",True
PS11738973,f7f36d3d0bc7e145,5,Easy repair,Great,Brad T,"January 28, 2022",True
PS11738973,1f9740bfa3bfe1cb,5,Works great easy to install,Easy to install took care of the problem,Jami E,"August 3, 2018",True
PS11738973,343f2f4e362c81fc,5,It's cold againm Thank God.,The evaporator fan blade arrived in perfect condition in a reasonable time. My adult daughter fixed the refrigerator after viewing a you tube video. Now we can enjoy a fruit popsicle again.,Bonnie S,"February 15, 2021",True
PS11738973,e4455ea8f9a28bb7,1,refridge fan motor,this part was ridiculous. it had to be shipped from china and cost whopping .$.25 or that is all it is worth.i did not even attempt to use it cause my 2000. fridge could not possibly need or be fixed with this cheesy part. i paid $33. for this stupid part. this company should be ashamed of their selves for selling this for that price. a 3 inch round piece of plastic weighing in at a whopping 3oz. could not possibly be worth the mailing price. what a joke. this company ripped me off.,Douglas S,"June 5, 2018",True
PS11738973,78f4568badb30f4b,1,Not the part we expected,We were told this part would be the equivalent to the part we needed. It was not. We also paid for overnight shipping and got the part a week later. Now we had to ship it back and paid for the shipping to ship back the incorrect part. Will not be ordering from this company again.,Corey B,"July 10, 2018",True
PS2003772,a1332924f8cb594c,5,Great experience!,"Everything in my refrigerator was freezing. I went online to research the issue, watched the video provided by PartSelect and ordered the Thermistor. It arrived the next day, I installed the part according to the video and the refrigerator has been working great for three weeks now. I'm very pleased with PartSelect's service!",Scott R,"June 26, 2019",True
PS2003772,765522aa974581ff,5,Easy repair,Easy repair after you get all the plastic covers and drawers removed. Forty dollar part saved me from buying a $2400 new refrigerator.,Randahl W,"January 29, 2023",True
PS2003772,38c4366bf8e8d20a,5,Worked like a champ!,Showed up on time with easy to follow instructions online. Repair too less than 15 min and completely fixed my refrigerator.,Timothy H,"December 25, 2018",True
PS2003772,1411a776af9c7ae0,5,Easier than expected to repair. Part arrived on time and work great!,Easier than expected to repair. Part arrived on time and work great!,Tracy R,"May 13, 2020",True
