ps_number,part_name,part_type,manufacturer_part_number,part_manufacturer,part_price,part_description,install_difficulty,install_time,install_video_url,part_url,average_rating,num_reviews,appliance_type,brand,manufactured_for,availability,replaces_parts
PS16622270,Ice Casting Mouth DA81-07737A,Ice Maker,DA81-07737A,Samsung,197.0000,,,,,https://www.partselect.com/PS16622270-Samsung-DA81-07737A-Ice-Casting-Mouth.htm?SourceCode=18,,,refrigerator,Samsung,Blomberg,In Stock,4913030400
PS16622247,"SVC-BOARD ELECTRONIC CONTROL;4918670200, DA81-07677A",Circuit Board or Touch Pad,DA81-07677A,Samsung,273.6900,,,,,https://www.partselect.com/PS16622247-Samsung-DA81-07677A-SVC-BOARD-ELECTRONIC-CONTROL-4918670200.htm?SourceCode=18,,,refrigerator,Samsung,Blomberg,In Stock,4918670200
PS16622500,"SVC-MAKER ICE CUBE SBS;4827350200,DACRSV DA81-08168A",Valve,DA81-08168A,Samsung,217.5900,,,,,https://www.partselect.com/PS16622500-Samsung-DA81-08168A-SVC-MAKER-ICE-CUBE-SBS-4827350200-DACRSV.htm?SourceCode=18,,,refrigerator,Samsung,Blomberg,Special Order,4827350200
PS16622298,"SVC-ASY EVAPORATOR FINNED;4907250200,DAC DA81-07822A",Refrigerator,DA81-07822A,Samsung,197.0000,,,,,https://www.partselect.com/PS16622298-Samsung-DA81-07822A-SVC-ASY-EVAPORATOR-FINNED-4907250200-DAC.htm?SourceCode=18,,,refrigerator,Samsung,Blomberg,In Stock,4907250200
PS17799954,Washer (A4.3 Din 125-St) 130100220,Dryer,130100220,Blomberg,6.9500,,,,,https://www.partselect.com/PS17799954-Blomberg-130100220-Washer-A4-3-Din-125-St.htm?SourceCode=18,,,refrigerator,Blomberg,Blomberg,Special Order,
PS17807871,Plug 4074170600,Refrigerator,4074170600,Blomberg,5.9500,,,,,https://www.partselect.com/PS17807871-Blomberg-4074170600-Plug.htm?SourceCode=18,,,refrigerator,Blomberg,"Beko, Blomberg",In Stock,
PS17807884,Button 4094910285,Refrigerator,4094910285,Blomberg,5.9500,,,,,https://www.partselect.com/PS17807884-Blomberg-4094910285-Button.htm?SourceCode=18,,,refrigerator,Blomberg,Blomberg,Special Order,
PS17807919,Power Cable Assy 4133843100,Refrigerator,4133843100,Blomberg,15.9500,,,,,https://www.partselect.com/PS17807919-Blomberg-4133843100-Power-Cable-Assy.htm?SourceCode=18,,,refrigerator,Blomberg,Blomberg,Special Order,
PS17808034,Fan Motor Assembly (Is-3215 Arc5a) 4207100185,Refrigerator,4207100185,Blomberg,18.9500,,,,,https://www.partselect.com/PS17808034-Blomberg-4207100185-Fan-Motor-Assembly-Is-3215-Arc5a.htm?SourceCode=18,,,refrigerator,Blomberg,Blomberg,Special Order,
PS17808048,Air Grille Built In 4210140100,Refrigerator,4210140100,Blomberg,6.9500,,,,,https://www.partselect.com/PS17808048-Blomberg-4210140100-Air-Grille-Built-In.htm?SourceCode=18,,,refrigerator,Blomberg,Blomberg,Special Order,
PS17807901,Power Cord Usa 2150 Mm 4112171300,Refrigerator,4112171300,Blomberg,20.9500,,,,,https://www.partselect.com/PS17807901-Blomberg-4112171300-Power-Cord-Usa-2150-Mm.htm?SourceCode=18,,,refrigerator,Blomberg,"Beko, Blomberg",In Stock,
PS17808058,Heater Spring (Back) 4214780400,Refrigerator,4214780400,Blomberg,58.9500,,,,,https://www.partselect.com/PS17808058-Blomberg-4214780400-Heater-Spring-Back.htm?SourceCode=18,,,refrigerator,Blomberg,"Beko, Blomberg",In Stock,
PS17808090,Rear Handle 4227510500,Refrigerator,4227510500,Blomberg,5.9500,,,,,https://www.partselect.com/PS17808090-Blomberg-4227510500-Rear-Handle.htm?SourceCode=18,,,refrigerator,Blomberg,"Blomberg, Beko",In Stock,
PS17808107,Ice Cube Tray Arc P1 D 4232250100,Refrigerator,4232250100,Blomberg,6.7700,,,,,https://www.partselect.com/PS17808107-Blomberg-4232250100-Ice-Cube-Tray-Arc-P1-D.htm?SourceCode=18,,,refrigerator,Blomberg,"Beko, Blomberg",Special Order,
PS17808168,Motor House Support-Line 2001. 4250010300,Refrigerator,4250010300,Blomberg,6.9500,,,,,https://www.partselect.com/PS17808168-Blomberg-4250010300-Motor-House-Support-Line-2001.htm?SourceCode=18,,,refrigerator,Blomberg,"Beko, Blomberg",Special Order,
PS17808263,Cable Assembly 4309290600,Refrigerator,4309290600,Blomberg,5.9500,,,,,https://www.partselect.com/PS17808263-Blomberg-4309290600-Cable-Assembly.htm?SourceCode=18,,,refrigerator,Blomberg,"Beko, Blomberg",In Stock,
PS17808288,Evaporating Tray 4317100200,Refrigerator,4317100200,Blomberg,28.9500,,,,,https://www.partselect.com/PS17808288-Blomberg-4317100200-Evaporating-Tray.htm?SourceCode=18,,,refrigerator,Blomberg,Beko,Special Order,
PS17808304,Compressor Emx20clc 4318011300,Refrigerator,4318011300,Blomberg,261.9500,,,,,https://www.partselect.com/PS17808304-Blomberg-4318011300-Compressor-Emx20clc.htm?SourceCode=18,,,refrigerator,Blomberg,"Blomberg, Beko",On Order,
PS17808488,Glass Shelf Group 4362724500,Refrigerator,4362724500,Blomberg,15.9500,,,,,https://www.partselect.com/PS17808488-Blomberg-4362724500-Glass-Shelf-Group.htm?SourceCode=18,,,refrigerator,Blomberg,"Blomberg, Beko",In Stock,
PS17808493,91cmv3-Glass Shelf Frz Short-294x300x4 4362726400,Refrigerator,4362726400,Blomberg,8.9500,,,,,https://www.partselect.com/PS17808493-Blomberg-4362726400-91cmv3-Glass-Shelf-Frz-Short-294x300x4.htm?SourceCode=18,,,refrigerator,Blomberg,"Beko, Blomberg",In Stock,
PS12729560,TRAY 11030673,Tray or Shelf,11030673,Bosch,44.5400,"Introducing the genuine TRAY, an OEM part exclusively designed by the distinguished brand, Bosch. Ideally suited for a variety of Bosch, Thermador, and Gaggenau models, this tray showcases a distinct size and shape, assuring an optimal fit and superior function. Faithful to the renowned quality of Bosch, the tray delivers durability and reliable performance, fostering the longevity of your appliances. Prior to ordering, kindly confirm that the TRAY aligns with your model's requirements, as appliance parts can exhibit subtle differences in size and shape. Trust the Bosch TRAY to elevate the convenience and efficiency of your home appliances.",,,,https://www.partselect.com/PS12729560-Bosch-11030673-TRAY.htm?SourceCode=18,,,refrigerator,Bosch,Bosch,In Stock,
PS8733395,TRAY 00673122,Tray or Shelf,00673122,Bosch,121.4800,"This clear refrigerator door shelf bin is designed to provide additional storage space inside the door of select Bosch refrigerators. Featuring a transparent body with a white rim, it offers a clean, modern look while helping organize small items such as condiments, bottles, and jars. Its open design allows for easy visibility and access, while the durable construction resists daily wear and tear. The tray is easy to clean and install—simply slide it into the designated slots on the door. It also helps contain minor spills, contributing to a cleaner and more efficient refrigerator interior. Before ordering, confirm compatibility with your specific model to ensure a proper fit.",,,,https://www.partselect.com/PS8733395-Bosch-00673122-TRAY.htm?SourceCode=18,5,2,refrigerator,Bosch,Bosch,In Stock,"AP4418687, 673122"
PS12075209,SHELF 00716823,Tray or Shelf,00716823,Bosch,98.3600,,,,,https://www.partselect.com/PS12075209-Bosch-00716823-SHELF.htm?SourceCode=18,,,refrigerator,Bosch,Bosch,In Stock,"AP6240724, 716823"
PS12729858,TRAY 12028332,Tray or Shelf,12028332,Bosch,20.9000,,,,,https://www.partselect.com/PS12729858-Bosch-12028332-TRAY.htm?SourceCode=18,,,refrigerator,Bosch,Bosch,In Stock,
PS8733388,TRAY 00673020,Tray or Shelf,00673020,Bosch,75.9300,,,,,https://www.partselect.com/PS8733388-Bosch-00673020-TRAY.htm?SourceCode=18,4,1,refrigerator,Bosch,Bosch,In Stock,"AP4398221, 673020"
PS11771017,SHELF 00774905,Tray or Shelf,00774905,Bosch,16.4700,,,,,https://www.partselect.com/PS11771017-Bosch-00774905-SHELF.htm?SourceCode=18,1,1,refrigerator,Bosch,Bosch,In Stock,"AP6036739, 774905"
PS11724643,Refrigerator ACTIVE CARBON FILTER 00636459,Filter,00636459,Bosch,46.0900,This air filter is for refrigerators. Air filter removes odors and impurities from the air inside the refrigerator.,,,,https://www.partselect.com/PS11724643-Bosch-00636459-Refrigerator-ACTIVE-CARBON-FILTER.htm?SourceCode=18,,,refrigerator,Bosch,"Thermador, Bosch",In Stock,"AP5984616, 00604147, 00607661, 00615452, 00625366, 00635528, 604147, 607661, 615452, 625366, 635528, 636459"
PS12747228,BYPASS FILTER 10013297,Filter,10013297,Bosch,34.9700,"Discover the perfect solution for your Bosch refrigerator with our genuine OEM Bypass Filter. This component is designed for use with select models of Bosch, as well as Thermador and Gaggenau refrigerators. Exceptionally crafted, this high-quality part not only helps to maintain the optimal performance of your appliance but also extends its lifespan. Please ensure to verify the part number against your model before purchasing, paying close attention to the size and shape that can have small variations. The Bypass Filter underscores the commitment of Bosch to deliver reliable, quality components for your home appliances. Make the right choice for your refrigerator today with our Bosch Bypass Filter.",,,,https://www.partselect.com/PS12747228-Bosch-10013297-BYPASS-FILTER.htm?SourceCode=18,,,refrigerator,Bosch,Bosch,In Stock,
PS8729485,Refrigerator Water Filter 00640565,Filter,00640565,Bosch,88.4800,"This water filter is an OEM replacement filter designed for use in refrigerators. It has a length of 8.75 inches and a diameter of 2.5 inches. It is responsible for filtering and purifying the water that comes from the water and ice dispenser. It removes contaminants, such as dirt, rust, and harmful chemicals, which ensures that your water is clean and safe for consumption. If you have noticed an unpleasant taste/smell in your water, leaking water in the refrigerator, and problems with dispensing ice/water, the filter is likely either clogged, or worn down and in need of replacement. It is recommended to replace the filter every 6 months for optimal performance. Before you begin this repair, ensure that the water supply is turned off. Remove the old filter from the filter housing, insert the new filter in and lock it in place. Run the water through the dispenser to remove air bubbles and ensure the filter is working properly.",,,,https://www.partselect.com/PS8729485-Bosch-00640565-Refrigerator-Water-Filter.htm?SourceCode=18,,,refrigerator,Bosch,Bosch,In Stock,"AP3961137, 640565, EVOLFLTR10"
PS12729387,ACTIVE CARBON FILTER 10009874,Filter,10009874,Bosch,19.9200,,,,,https://www.partselect.com/PS12729387-Bosch-10009874-ACTIVE-CARBON-FILTER.htm?SourceCode=18,,,refrigerator,Bosch,Bosch,In Stock,
PS10058603,WATER FILTER 00798469,Filter,00798469,Bosch,157.0800,,,,,https://www.partselect.com/PS10058603-Bosch-00798469-WATER-FILTER.htm?SourceCode=18,,,refrigerator,Bosch,Bosch,Special Order,"AP5951027, 00631906, 631906, 798469"
PS16746082,WATER FILTER 11050659,Filter,11050659,Bosch,180.5800,,,,,https://www.partselect.com/PS16746082-Bosch-11050659-WATER-FILTER.htm?SourceCode=18,,,refrigerator,Bosch,Bosch,In Stock,11041954
PS8730577,FILTER 00646951,Filter,00646951,Bosch,10.1200,,,,,https://www.partselect.com/PS8730577-Bosch-00646951-FILTER.htm?SourceCode=18,,,refrigerator,Bosch,"Bosch, Gaggenau",Special Order,"AP4397982, 646951"
PS8726488,FILTER 00605703,Filter,00605703,Bosch,16.4700,,,,,https://www.partselect.com/PS8726488-Bosch-00605703-FILTER.htm?SourceCode=18,,,refrigerator,Bosch,"Gaggenau, Thermador, Bosch",Special Order,"AP3962412, 605703"
PS11701542,Refrigerator Ice and Water Filter EDR1RXD1,Filter,EDR1RXD1,Whirlpool,83.8900,"The EDR1RXD1 water filter provides clean, fresh-tasting water by reducing contaminants such as lead, chlorine, and particulates. Designed for easy installation, this filter ensures your refrigerator water and ice are safe and refreshing with every use",Really Easy,15 - 30 mins,https://www.youtube.com/watch?v=rryiwFOJBYg,https://www.partselect.com/PS11701542-Whirlpool-EDR1RXD1-Refrigerator-Ice-and-Water-Filter.htm?SourceCode=18,4.77,108,refrigerator,Whirlpool,"Whirlpool, Maytag, KitchenAid, Kenmore",In Stock,"AP5982535, 9900, 9981, FILTER 1, FILTER1, W10217316, W10291030, W10295370, W10295370A, W10569758, W10569760, W10569761, W10735398"
PS11722130,Refrigerator Water Filter EDR4RXD1,Filter,EDR4RXD1,Whirlpool,83.8900,"This water filter (Whirlpool EveryDrop Refrigerator Water Filter, Single Turn Filter) purifies water going to the water dispenser and sometimes the icemaker as well. This part should be replaced if it is causing reduced water flow or just replaced periodically per the owner manual. Replacing this water filter may fix a noisy or leaking fridge, a fridge that is not dispensing water (or reduced flow rate), and an ice maker that is not making ice at all, or not making enough ice. This filter is white, sold individually and measures 8 inches by 3 inches in diameter. This water filter has been updated by the manufacturer. It may appear different but will still function the same. It is sold individually.",Easy,15 - 30 mins,https://www.youtube.com/watch?v=5oA-c0VklDg,https://www.partselect.com/PS11722130-Whirlpool-EDR4RXD1-Refrigerator-Water-Filter.htm?SourceCode=18,4.64,98,refrigerator,Whirlpool,"Maytag, KitchenAid, Whirlpool, Amana",In Stock,"AP5983564, 12589201, 12589203, 12589206, 12589208, 13040201, 13040214, 13040216, 13040216N, 13040218, 4396395, 67002671, 67003526, 67003591, 67003727, 67006464, 67006467, 67006468, 67006474, 67006475 ... Show more"
PS2580853,Refrigerator Air Filter W10311524,Filter,W10311524,Whirlpool,16.7100,"This Refrigerator Air Filter is a white 1.8x3.2"" plastic filter which neutralizes odor and bacteria in the air. It should be replaced every six months at a minimum. Refer to your user manual and model number to see if this filter is right for your fridge. Location for storage of the air filter may vary from model to model, but generally, you will find a small cover on the back-middle-top of your fridge, which can be popped off to reveal the air filter, which can be easily changed out from there. This part does not come sold with the indicator; it is the filter only. Sold individually.",Really Easy,30 - 60 mins,https://www.youtube.com/watch?v=nxIKznINpf8,https://www.partselect.com/PS2580853-Whirlpool-W10311524-Refrigerator-Air-Filter.htm?SourceCode=18,4.75,44,refrigerator,Whirlpool,"Whirlpool, KitchenAid, Maytag, Kenmore",In Stock,"AP4538127, 2319308, AIR 1, AIR1, W10315189, W10335147"
PS11757236,Gallon Door Bin - Clear WPW10710203,Tray or Shelf,WPW10710203,Whirlpool,33.8500,"This clear refrigerator door shelf bin is a genuine OEM replacement part designed for select Whirlpool, Kenmore, and Maytag models. Made from high-quality, food-grade PS plastic, it securely holds jars, bottles, and other items on the right-hand side of the upper refrigerator door. The bin features reinforced edges for added durability and wear resistance, and some versions include a built-in soda can organizer for enhanced storage. Installation is tool-free, with the bin snapping directly into the designated slot. Compatibility should be verified using your refrigerator’s model number prior to installation.",Really Easy,Less than 15 mins,,https://www.partselect.com/PS11757236-Whirlpool-WPW10710203-Gallon-Door-Bin-Clear.htm?SourceCode=18,4.7,80,refrigerator,Whirlpool,"Kenmore, Whirlpool, Maytag, Admiral",In Stock,"AP6023888, W10451871, W10463668, W10710203, WPW10710203VP"
PS2121513,Replacement Ice Maker D7824706Q,Ice Maker,D7824706Q,Whirlpool,95.8900,"This ice maker (Ice Maker Assembly, Refrigerator Ice Maker) produces ice cubes that are ejected into the storage bucket. It is located in the freezer section of your appliance, mounted on the freezer wall. The ice maker can break from normal wear and accidental damage. If this happens, your refrigerator may no longer make ice cubes, or may not make enough cubes, and the part should be replaced. This model measures approximately 11 inches long and 5 inches wide. It’s constructed of plastic and metal, and comes in black/white/silver. This assembly includes the ice mold and the control device.",Easy,15 - 30 mins,https://www.youtube.com/watch?v=_6xfzzeEWyw,https://www.partselect.com/PS2121513-Whirlpool-D7824706Q-Replacement-Ice-Maker.htm?SourceCode=18,4.73,183,refrigerator,Whirlpool,"Amana, Maytag, Admiral, Kenmore",In Stock,"AP4135008, 915772, D7824706Q, 0056504, 0056599, 0056606, 0312578, 0312738, 0312739, 0312740, 10549201, 10563707, 10563708, 61005508, 61005508A, 67001263, 68111-1, 68972-1, 8170937, 95091-1 ... Show more"
PS11738120,Refrigerator Ice Maker W10873791,Ice Maker,W10873791,Whirlpool,80.2000,"Tired of your fridge not making ice? This replacement ice maker can fix that. It automatically fills with water, freezes it, and drops ice into the bin—so you always have ice ready for drinks or cooking. It’s made to fit several Whirlpool, Maytag, and KitchenAid models and is great if your current ice maker is leaking, noisy, or just not working. Easy to install and ready to get your ice supply back on track.",Really Easy,15 - 30 mins,,https://www.partselect.com/PS11738120-Whirlpool-W10873791-Refrigerator-Ice-Maker.htm?SourceCode=18,4.52,50,refrigerator,Whirlpool,"Whirlpool, Kenmore, Maytag, KitchenAid",In Stock,"AP6026347, W10760070, W10798411, W10847507, W10873791VP, W11130444, W11646278"
PS884734,Light Bulb - 40W 8009,Light or Bulb,8009,Whirlpool,17.7500,"This an authentic OEM 40-Watt replacement light bulb, used in a number of household appliances. It is specially designed to withstand extreme temperatures, which is why these replacement bulbs are most often used to light the inside of refrigerators and ranges. It features a standard socket base, which means you simply unscrew the burnt-out bulb and screw in the replacement. Depending on the appliance you may require a screwdriver or nut driver to access the light bulb. We recommend you wear work gloves while handling this replacement part. It is constructed of glass and metal and is sold individually. Depending on the appliance and location of the bulb within it, you may want to consider disconnecting power and using a flashlight for easier access to unscrewing and re-screwing in your bulb during this repair.",Really Easy,15 - 30 mins,https://www.youtube.com/watch?v=kSohIGunxBw,https://www.partselect.com/PS884734-Whirlpool-8009-Light-Bulb-40W.htm?SourceCode=18,4.64,78,refrigerator,Whirlpool,"Kenmore, Whirlpool, Amana, Magic Chef",In Stock,"AP3607217, 1958, 8009, 0020478, 0020571, 0047146, 0053950, 0056713, 0057030, 0057035, 0088673, 0089290, 040672-02, 05600070, 0B00300199, 0B00300299, 0B00300399, 0L01500199, 10664502, 10664503 ... Show more"
PS11722126,Water Filter EDR2RXD1,Filter,EDR2RXD1,Whirlpool,83.8900,"This water filter is a genuine replacement for bottom-freezer refrigerators that accept a Filter 2. it is certified to remove up to 24 different contaminants which include pharmaceuticals, waterborne parasites, lead, and pesticides. The filter should be replaced every six months, or when 200 gallons of water have passed through, to ensure optimum contaminant reduction. The filter is found in the top right corner of your fridge, and replacing it is easy. Simply pop out the old one (keep a bucket underneath to catch any water) and slide in the new one. You will hear a click once it has locked into place. You should run water through the filter for a couple minutes prior to use. This filter measures approximately two inches wide, two inches deep, and 7.5 inches long.",Really Easy,Less than 15 mins,,https://www.partselect.com/PS11722126-Whirlpool-EDR2RXD1-Water-Filter.htm?SourceCode=18,4.78,36,refrigerator,Whirlpool,"Whirlpool, Maytag, KitchenAid, Kenmore",In Stock,"AP5983562, FILTER 2, FILTER2, W10238154, W10413645, W10413645A, W10609378, W10680605"
PS11731608,Meat Drawer Shelf W10861519,Tray or Shelf,W10861519,Whirlpool,47.0600,"This is a meat drawer shelf frame for some models of refrigerator. This white plastic frame measures approximately 12-inches wide and 16 inches long, and is used to allow the meat drawer to easily slide in and out of the fridge. If your meat drawer is currently sagging and this frame is damaged and not supporting it enough, it needs to be replaced. Replacing this frame requires you to remove the meat drawer and the glass shelf above it, so you can flip it over and slide out the old frame, and slide in the new. This frame is supplied by the original equipment manufacturer and is sold individually, so it does not include any other parts for the meat drawer or shelf above it.",Really Easy,15 - 30 mins,,https://www.partselect.com/PS11731608-Whirlpool-W10861519-Meat-Drawer-Shelf.htm?SourceCode=18,4.68,66,refrigerator,Whirlpool,"Whirlpool, Admiral",In Stock,"AP5999492, W10628698"
PS12728638,Refrigerator Door Switch W11384469,Switch,W11384469,Whirlpool,29.2900,Door switch turns the light off when you close the door.,Really Easy,Less than 15 mins,https://www.youtube.com/watch?v=2juGyjXFpyk,https://www.partselect.com/PS12728638-Whirlpool-W11384469-Refrigerator-Door-Switch.htm?SourceCode=18,4.63,94,refrigerator,Whirlpool,"Amana, Kenmore, Whirlpool, Maytag",In Stock,"AP6893312, 046789-01, 1021, 1107734, 1108055, 1108112, 1118894, 1118895, 12466102, 14001066, 14200201, 14205646, 14210229, 14214567, 1547075, 1549695, 2-32164-001, 2154668, 2321286, 4312314 ... Show more"
PS11723190,Refrigerator Pantry Drawer Door Cover W10827015,Cap or Lid,W10827015,Whirlpool,120.0400,"This pantry drawer lid is also known as a pantry drawer door or pantry drawer cover. This is a genuine OEM part, and is sold individually. This part helps keep everything inside the drawer. It acts as a cover, and also keeps your drawer at the proper temperature by creating a seal. You may need to replace this part if door does not open or close, or if the drawer is too cold. No tools are required for this replacement, simply push the hinge pins aside to remove the old lid. Consider checking the pantry end cap kit for damage before ordering the pantry drawer lid, as they are often purchased together.",Really Easy,Less than 15 mins,https://www.youtube.com/watch?v=b_7UE9KLYAU,https://www.partselect.com/PS11723190-Whirlpool-W10827015-Refrigerator-Pantry-Drawer-Door-Cover.htm?SourceCode=18,4.75,102,refrigerator,Whirlpool,"Whirlpool, Maytag, Kenmore, Amana",In Stock,"AP5985816, 12656813, 12656814, 12656815, 12656816, 12656818, 67002319, 67002812, 67003170, 67003305, 67003332, 67003333, 67004643, 67004698, 67005899, 67005900, 67005903, 67005910, 67006736, 8171060 ... Show more"
PS12728638,Refrigerator Door Switch W11384469,Switch,W11384469,Whirlpool,29.2900,Door switch turns the light off when you close the door.,Really Easy,Less than 15 mins,https://www.youtube.com/watch?v=2juGyjXFpyk,https://www.partselect.com/PS12728638-Whirlpool-W11384469-Refrigerator-Door-Switch.htm?SourceCode=18,4.63,94,refrigerator,Whirlpool,"Amana, Kenmore, Whirlpool, Maytag",In Stock,"AP6893312, 046789-01, 1021, 1107734, 1108055, 1108112, 1118894, 1118895, 12466102, 14001066, 14200201, 14205646, 14210229, 14214567, 1547075, 1549695, 2-32164-001, 2154668, 2321286, 4312314 ... Show more"
