ps_number,story_id,title,instruction,author,difficulty,repair_time,helpful_count,vote_count
PS2121513,91652,"Icemaker made some pretty sad cubes! Hollow, unfilled, or small cubes","Replacing the icemaker is pretty simple. Three screws, an electrical connector. Hardest part is getting to the icemaker since the freezer is below the refrigerator.","Dana from ABINGTON, PA",Easy,30 - 60 mins,2,2
PS2121513,90092,Water leak,"The repair was fairly simple other than the tray replacement where the yoke passed through. Tray was broken all around the auger motor and the yoke had to be removed in order to install in new tray. Used a vise with light pressure to hold the motor, applied some heat with a mini torch to the threads of the yoke, used a screw driver a and","Robert from HENRICO, VA",Easy,1- 2 hours,1,1
PS2121513,86473,Ice tray was corroded and leaking,Removed top drawer from freezer. Unplugged the ice maker. Uncrewed the bottom screw. Loosened the two top screws. Removed old ice maker. Removed all the parts that didn't come with the new ice maker and installed on new ice maker. Reinstalled the new ice maker. Started making ice with no leaks in about 3 hours.,"Scott from SAN DIEGO, CA",Easy,30 - 60 mins,1,1
PS2121513,85188,Ice maker stopped making ice,Remove 1 screw under ice maker. Gently pull downwards to unhook ice maker. Disconnected 4 pin wire connector. Remove and set aside the cover and wire loop you will need on new ice maker. Reverse the steps to install new maker. Once new ice maker is installed you will have to wait 2-4 hours for ice. There is a thermostat that will need to,"Daniel from DAVISBURG, MI",Really Easy,Less than 15 mins,2,2
PS2121513,85183,Ice tray filled up with water. Stopped making ice.,"As per instructions. Removed parts from old ice maker, and installed them on new one, Then installed it in the freezer. Works good.","robert from COLDSPRING, TX",Very Easy,15 - 30 mins,2,2
PS2121513,84819,Leaking water every time ice maker fillls.,Replaced entire ice maker. Turn off water where it comes out of the wall. Loosen two top screws and remove one screw at bottom. Lift unit up and off top screws and swivel out to the right and disconnect power plug from freezer. Warning new unit does not come with: 1. Power Cable 2. Front plastic cover. 3. Wire bail. Install in reverse ord,"Bill from Granite Bay, CA",Very Easy,15 - 30 mins,1,1
PS2121513,84782,Replaced leaking ice maker after minor screwup!,"Old ice maker leaking water and produced ice cubes with black inclusions. First, I removed old ice maker per video instructions. Transferred electrical cable, cover, and bail to new ice maker. First installation failed because I failed to make sure water tube correctly enter back of ice maker. No ice. Initially thought electrical cab","Jackson from Leesburg, VA",Easy,15 - 30 mins,2,3
PS11738120,98657,Ice maker not making ice and dripping water,This is an easy fix. The hardest part was just determining which part to replace. But the Q&A's for the ice maker from this site steered me right. And their video on how to install was easy to follow. The only difference I found was my Whirlpool had only 2 electrical connectors instead of the 3 in the video. I finished the job in about,"Allen from HOUSTON, TX",Really Easy,Less than 15 mins,4,5
PS11738120,98517,Ice cube tray had a loose part hanging down,"Did my homework.
Consulted Utube
Bought the part
Installed","Roger from BOULDER, CO",Easy,30 - 60 mins,3,3
PS11738120,97884,"Ice maker dumped excess water into ice cube bin, then it would freeze.","Turned off power. Placed all frozen food in insulated containers. Removed all interior door parts to access ice maker, then removed the old ice maker. Dried everything with heat gun to make sure there were no ice obstructions. Installed new ice maker, interior door cover and ice bin. Turned on power, replaced food items shortly thereafter","Karl from NEW BLOOMFLD, PA",Really Easy,15 - 30 mins,10,10
PS11738120,97357,Not making ice,First turn off the ice maker. Then there's four screws in the very back you remove pull out the cover. There's hex head 516 bolts maybe quarter inch that hold in the ice maker unplug the ice maker reverse process,"Jay from WOODWAY, TX",Really Easy,15 - 30 mins,4,6
PS11738120,96333,Ice maker quit making ice,"1 turned off the unit
2 removed the cover panel be removing 4 Phillips head screws
3 unplugged the on off switch attached to the cover panel
4 removed the two 1/4 in nut head screws holding the ice maker
5 removed the ice maker and disconnected the power at the join
6 performed the above steps in reverse
7 t","Ray from KILL DEVIL HL, NC",Really Easy,30 - 60 mins,5,6
PS11738120,95521,Ice Maker Quit Making Ice,"In reading other post for this problem on the Parts Select web site, I checked the solenoids on the Inlet Valve (PN WPW10341320) located behind the refrigerator. A previous post indicated the solenoid should read between 500 and 1500 ohms. In checking, I read around 290 ohms, and confirmed the solenoid was ok. There were other items to ch","Carl from WILMINGTON, NC",Easy,30 - 60 mins,9,9
PS11738120,95063,Broken icemaker,"Removed nuts and bolts in order to remove ice maker unit, and 4 screws from the surrounding shell to get to said icemaker unit. I'd say it was a 15 minute job, but that's kind of a lie. It took me about a week of procrastination. And then 15 minutes to remove one unit and then put in the new unit. It's very easy unless you're really l","Tim from PARKER, CO",Easy,Less than 15 mins,17,21
PS11738120,93843,Replacing ice cube tray.,My icemaker is on the freezer door. Open the freezer door and remove the ice bucket and turn ice maker swith off. There is a plastic cover you need to remove just 4 screws then work cover a little and it will pull out. You need to disconnect the wire connector for the on/off switch for icemaker. set cover aside. Now the ice cube tray is e,"Robert from STRONGSVILLE, OH",Easy,30 - 60 mins,11,15
PS11738120,93661,Ice maker quick working and made a clicking sound while trying to drop ice,"Removed freezer cover from ice maker, unplugged the harness. Installed the new ice maker assembly,plugged in two wire harness and secured the part and cover.
Results was smooth process, no noice from ice dispenser. Pleased with results. Saved on repairs. Thanks Tom","Thomas from HARPER, TX",Easy,15 - 30 mins,5,6
PS11738120,92253,"My ice maker would only freeze for a short while, after unplugging it for a few hours it would begin to make ice again only to stop after a few trays","The repair went great, however, I had someone to put the part in for me.","Elizabeth from EDENTON, NC",A Bit Difficult,30 - 60 mins,3,3
PS884734,97726,Bowls were rusted through,Really simple just pull them out and stick them back in,"Kevin from SPENCER, NE",Very Easy,15 - 30 mins,2,2
PS884734,96073,Amana thermostat rusted,Add the new one it was slightly different than the original but it worked out perfect.,"Lawrence from LAGRANGEVILLE, NY",Really Easy,15 - 30 mins,3,3
PS884734,94366,The large top burner and the oven bake burner elements as well as the oven light had all burned out,I looked up a how to video on You Tube which I watched and then ordered the appropriate parts which I installed as soon as they arrived. Problem solved.,"John M from STEELTON, PA",Easy,15 - 30 mins,5,5
PS884734,93198,Oven would heat up very slowly and not reach more than 325 *F,I purchased all the likely suspects. It was a corroded lower heating element that was faulty. Fixed the burnt out light bulb for good measure while I was in there.,"Andrew from BOTHELL, WA",Really Easy,30 - 60 mins,16,21
PS884734,91817,No levelers on stove/burnt out oven light,Leveler screw in. Adjust to height of counter top since stove has lip that rest on counter top. Oven lens cover difficult to unscrew. Use rubber glove to get better grip!,"Dennis from LAKELAND, FL",A Bit Difficult,30 - 60 mins,2,2
PS884734,87987,Bake element eroded,Everything was straightforward other than the tabs that the screws go through before going into the back of the oven were the wrong size and the predrilled holes were not in the right location. Had to trim the metal tabs and redrill the screw holes.,"Alison from NORTH EASTON, MA",A Bit Difficult,1- 2 hours,2,2
PS884734,87684,Light bulb and socket became one when trying to remove a burned out bulb. Ruined the socket.,"Move stove out from wall. Unplug from power. Removed four screws from the left side of the back (the side the light socket is on. Reach in and unplug the two wires on the back of the bulb socket assembly. Inside the oven, remove the bulb cover and the two screws holding the socket assembly. Remove assembly. Install bulb in new assembly, r","Byron from LE SUEUR, MN",Very Easy,Less than 15 mins,2,2
PS884734,86838,"Element, oven light no longer worked.","Disconnect power, remove 2 mounting screws that attach broker element, disconnect electrical leads. Remove rear cover and insert new element, replace mounting screws, connect leads, replace rear cover. Turn oven bulb cover counterclockwise and take out old bulb, replace new bulb and put cover back on, turn clockwise and hand tighten.","Vernon T Jones from MEMPHIS, TN",Really Easy,30 - 60 mins,5,5
PS884734,85725,bake element burned out,open oven door remove racks then went to the element back where it goes in removed two philip head screws pull out the element replace done...,"phillip from Valley, AL",Really Easy,Less than 15 mins,3,4
PS884734,84304,Lower Light Shield Broke,Removed temperature knob in middle of old light shield. Pushed up on old light shield to remove it from its place. Replaced 40w light bulb on L. Replaced new light shield by making sure clips on top new light shield caught the pegs on the refrigerator. Pulled down slightly till new light shield was in place. No tools. Very easy.,"David from SAN TAN VLY, AZ",Very Easy,Less than 15 mins,2,6
PS11722126,97722,Water filter needed replaced,Took the old one out & replaced it with the new one,"Barbara from NORMAN, OK",Really Easy,Less than 15 mins,4,4
PS11722126,97579,Not making enough ice,Just open the filter and put it in the slot,"Regina from CLINTON, AR",Really Easy,Less than 15 mins,2,2
PS11722126,96192,Changed water filter. Water came out slowly. took off filter and reinstalled water came out good stream. Ice maker is still not working.,Just stood in front of the refrigerator and disconnected the water filter and replaced it with the new one I purchased from by hand,"Orville from Albuquerque, NM",Difficult,30 - 60 mins,3,5
PS11722126,96103,No Problem This was a simple replacement of the water filter.,"Lower the filter cover on the refrigerator, twist the old filter to remove it, install the new filter by pushing and twisting it, and close the filter door.
Using a pitcher, run water through the new filter until the excess carbon leavings are out then the water is clear and is drinkable","Charles L from ROSEVILLE, CA",Really Easy,Less than 15 mins,2,2
PS11722126,93478,Replace refrigerator water filter,"I followed the instructions in the appliance reference manual, and successfully replaced the water filter in 2 minutes, and reset the water quality indicator.","Jim from BROADVIEW HTS, OH",Really Easy,Less than 15 mins,2,3
PS11722126,92418,"Remove existing filters, install new filters","Opened filter housing, yanked out old filter, screwed in new filter - one turn.
For the air filter, opened housing. Lifted out old filter, dropped in new, closed housing.","Carl from LAS VEGAS, NV",Very Easy,Less than 15 mins,6,8
PS11722126,92195,replaced water filter,"Had a hard time getting the refridgerator part of the filter to LET GO. The grooves weren't lined up with the areas meant to pinch. A knife on each side got it to release.
Thanks.
Have a good one.","Virginia from POLSON, MT",Very Easy,Less than 15 mins,3,3
PS11722126,90867,Filterer,Easy,"Olga from COLLEGE STA, TX",Really Easy,Less than 15 mins,3,3
PS11722126,87899,Putting in a new water filter,"Unscrewed the old one and put the new one in
Some water on shelf of fridge
Overall not bad","Denise from WILBRAHAM, MA",Very Easy,Less than 15 mins,8,12
PS11722126,84102,Quit making ice,A repair man came out and had to replace the ice maker,"Wyn from SURPRISE, AZ",Really Easy,30 - 60 mins,22,36
PS11731608,99117,original meat drawer broke due to overloading. I ordered from PART SELECT but had the agent help me with the exact item!,"Getting the right part was the key but I had the serial number and the agent in Nova Scotia helped me identify the part and using the 360 degree camera, I was
able to determine how it was going to slide into the shelf. It took less than 15 minutes and was extremely easy to install. Everything just slide right in. The agent was the k","Kathleen from San Francisco, CA",Very Easy,Less than 15 mins,1,1
PS11731608,97273,Meat drawer shelf broke,Slid the shelf onto the track,"Mary from ELMWOOD PARK, NJ",Very Easy,Less than 15 mins,1,2
PS11731608,96924,The original shelf that came with the refrigerator broke and we ordered a replacement.,"The problem with the replacement part is that it didn't fit cleanly and doesn't slide well with the existing drawer.
We were disappointed.","Larry from BUFFALO GROVE, IL",Difficult,30 - 60 mins,2,4
PS11731608,96922,Meat drawer shelf broken,Pull the top shelf out and slide the new part in,"James from CROWNSVILLE, MD",Really Easy,Less than 15 mins,1,3
PS11731608,95505,Meat drawer shelf was broke,"Removed the main top glass shelf from the fridge,slide meat drawer shelf into the side of the glass main shelf.Thats it,you can then install your meat drawer into the new meat shelf bracket.","LONNIE from SPOTSYLVANIA, VA",Really Easy,Less than 15 mins,2,3
PS11731608,95475,broken meat drawer ;shelf,"When I did not see instructions on how to replace the broken shelf that holds the meat drawer, I was afraid it would be difficult but after seeing how the broken piece placement was placed all I had to do was slide it off and place the new one. No problem, Thank you!!!","Aida from HOMESTEAD, FL",Very Easy,15 - 30 mins,1,2
PS11731608,94653,Broken drawer,"Remove the food from the shelf above the drawer.
Slide the old drawer out and replace it with the new one.
Very easy fix.","William from STEPHENVILLE, TX",Really Easy,30 - 60 mins,3,3
PS11731608,93078,Broken meat drawer shelf frame...,"Removed shelf, removed shelf frame and installed new one.","Betty from KELSO, WA",Really Easy,Less than 15 mins,2,3
PS11731608,93041,Meat drawer keeper shelf broke.,Took the refrigerator shelf out. Slid the broken part off the rim on the shelf. Placed the new one on the rim. Remplced the shelf in the refrigerator. Done!,"Donna from YOUNGSTOWN, OH",Very Easy,15 - 30 mins,2,2
PS11731608,91870,the track for the meat drawer shelf cracked,"We took out the shelf, the new track snapped in place easily.
Part Select is an innovative answer to dyo repairs, very
helpful through process.","Jacqueline from MONTROSE, CO",Really Easy,Less than 15 mins,4,5
PS12728638,91771,Refrigerator light would not stay on. Water dispenser would not dispense unless the refrigerator light was on.,"My non mechanical husband used a flat edged screwdriver to pry out the broken switch. Then it was a matter of reconnecting to small wires and popping the switch back in place....voila, life has been great ever since. ;)","INEZ from RIALTO, CA",Really Easy,15 - 30 mins,2,3
PS12728638,88182,Light switch broke off,We looked up the problem online with the model number of the refrigerator. We ordered the part and followed the video installation that was sent with the order and was found online prior to purchasing,"Kathy from TEMECULA, CA",Very Easy,Less than 15 mins,1,2
PS12728638,84928,changed the light bulb still would not work so I figured it was the switch sure enough.,I took a chance and ordered a switch that is next to the top of the door. looked for how to remove it easily done in ten minutes works fine last long time.,"anthony from HAVELOCK, NC",Really Easy,15 - 30 mins,3,4
PS12728638,84486,light did not work on the refrigerator side,"bulbs were not burnt out. received the new switch in a few days. watch the short video, was good to see how it comes out. used a putty knife to release the defective switch, removed wires put them on the new one and posed the new switch back in. Not bad Part cost $11.00 7 dollars shipping so for 17 bucks it works great. nice to see what i","David from GROVESPRING, MO",Easy,Less than 15 mins,1,2
PS12728638,82854,Light rocker switch broke and refrigerator light couldn't go on.,I just popped out the old switch with a flat head screwdriver. Removed the connections and then installed new switch by reversing steps. Popped in back in and the light went on.,"Cathy from HOPATCONG, NJ",Very Easy,Less than 15 mins,2,4
PS12728638,81075,Did not work light does not come on when the door opens. Would try the light socket. It not sure how good the switch got plugged in.,By watching a video.,"Cherilyn from CARROLLTON, TX",Really Easy,30 - 60 mins,1,4
PS12728638,80941,Rocker on switch broke off,Eased the putty knife under the edge of the switch housing and pried it off. Pulled two wires off the old terminals and hooked them onto the new one and reinstalled into the refrigerator body.,"David Barnes from ROSWELL, NM",Very Easy,Less than 15 mins,1,2
PS12728638,68866,Switch was not working after a repairman had fixed something else,"Please bear in mind I am 65 years old & it was harder to get up & down off the floor then to change the switch. Was very easy - watched video, unplugged unit. I used the putty knife at the right front corner to work loose, when it came loose had to loose the left side a little. The unit pulled out easily. detached the wired that had a","Jackie from Nova, OH",Really Easy,Less than 15 mins,0,2
PS12728638,58673,Light in my refrigerator didn't work.,At first I went to a local part supplier and they didn't have it in stock but could order it for me for $55.00 plus $10.00 to ship it. I told them I would have to think about it. I went home and got on the computer and found your web site and was I shocked when I saw the same part listed for $6.98 and $7.00 to ship it. You guys saved m,"Joseph from Byron Center, MI",Really Easy,Less than 15 mins,1,3
PS12728638,54618,rocker switch broke off,disconnected el. power to fridge. pried out broken switch with small screwdriner and pulled out w/water pump pliers. installed new switch and pressed into opening.,"STANLEY from OAKLAND, NJ",Really Easy,Less than 15 mins,0,1
PS11723190,95538,Did not have the right size ratchet head,Receive the parts. Review the video. Thought I can do this got down to the screw and I didn’t have is a ratchet small enough to remove the screw so I had to call D.O.C appliances to do the install Michael was here less than 15 minutes,"Francis from SHELBY TWP, MI",Really Easy,30 - 60 mins,4,4
PS11723190,89812,Both my pantry drawer and lid (clear cover) had broken apart,I watched your online video and it was VERY easy! No extra assistance or tools were needed to replace the two parts.,"Sue from WESTERVILLE, OH",Very Easy,Less than 15 mins,1,3
PS11723190,86368,"Door on the pullout lower ""Pantry"" had cracked","Part was pretty ubiquitous so plastic door pins part fits a lot of refrigs, no tools necessary, new part is flexible enough to bend slightly to fit over pins at side. Mine was a bottom freezer type.","Donald from RICHMOND, IN",Really Easy,30 - 60 mins,2,2
PS11723190,85088,Broken drawer lid connector,"I removed and replaced the right pantry end cap, as well as the drawer lid.","Matt from BROOKFIELD, WI",Really Easy,15 - 30 mins,3,3
PS11723190,82902,Broken parts,Unscrewed broken sections and rescrewed new parts into place,"James from CHESTERFIELD, VA",Very Easy,Less than 15 mins,1,1
PS11723190,82527,broken pantry drawer lid,"took out old lid, took out drawers above this drawer to make it easier to work on. installed new drawer simple by hand with no tools. put other drawers back. very simple no tools needed.","robert from ROCHESTER, NY",Very Easy,Less than 15 mins,2,2
PS11723190,42920,The pantry lid was warped and the hinge pin broken,"this pantry lid was warped when the fridge was new. tolerated it for a while finally it cracked then worked pretty well for a couple years until the RH hinge pin (part of a support for the pantry door)broke. I had never bought parts from partselect.com before, but I have in the past bought repair parts from other sites. Partselect.com","David from Butte, MT",Easy,15 - 30 mins,2,3
PS11723190,40186,chef drawer cover,"take the old one out replace with new once - no instructions required, no tools needed","Maria from Cream Ridge, NJ",Really Easy,Less than 15 mins,6,7
PS11723190,39841,Replace pantry lid,It was great! Took my husband less then 5 minutes to fix. Your delivery time is excellent. This is the second time I order from you and would do so again if the need arises. Thank you so much. Don't be afraid people go ahead and order.,"Doris from Holden, MA",Really Easy,Less than 15 mins,2,3
PS11723190,39772,Our deli drawer had a cracked cover window.,"Extremely simple to replace the entire cover. Just had to press on the sides to remove the cover from the hinge pins, then reinstall.","LARRY from HUTTO, TX",Really Easy,Less than 15 mins,3,5
PS12728638,91771,Refrigerator light would not stay on. Water dispenser would not dispense unless the refrigerator light was on.,"My non mechanical husband used a flat edged screwdriver to pry out the broken switch. Then it was a matter of reconnecting to small wires and popping the switch back in place....voila, life has been great ever since. ;)","INEZ from RIALTO, CA",Really Easy,15 - 30 mins,2,3
PS12728638,88182,Light switch broke off,We looked up the problem online with the model number of the refrigerator. We ordered the part and followed the video installation that was sent with the order and was found online prior to purchasing,"Kathy from TEMECULA, CA",Very Easy,Less than 15 mins,1,2
PS12728638,84928,changed the light bulb still would not work so I figured it was the switch sure enough.,I took a chance and ordered a switch that is next to the top of the door. looked for how to remove it easily done in ten minutes works fine last long time.,"anthony from HAVELOCK, NC",Really Easy,15 - 30 mins,3,4
PS12728638,84486,light did not work on the refrigerator side,"bulbs were not burnt out. received the new switch in a few days. watch the short video, was good to see how it comes out. used a putty knife to release the defective switch, removed wires put them on the new one and posed the new switch back in. Not bad Part cost $11.00 7 dollars shipping so for 17 bucks it works great. nice to see what i","David from GROVESPRING, MO",Easy,Less than 15 mins,1,2
PS12728638,82854,Light rocker switch broke and refrigerator light couldn't go on.,I just popped out the old switch with a flat head screwdriver. Removed the connections and then installed new switch by reversing steps. Popped in back in and the light went on.,"Cathy from HOPATCONG, NJ",Very Easy,Less than 15 mins,2,4
