appliance_type,symptom,part_type,instructions,part_category_url
refrigerator,Fridge and Freezer are too warm,Electronic Control Board,"Some newer models of refrigerators may use an electronic control board. Thermistors or temperature sensors are connected to the control board and are used to monitor temperatures in the fresh food and freezer compartments. The control board uses this information to control the operation of the compressor, fan motors and defrost system. If the temperatures are too warm, then the electronic control could be at fault. Electronic controls are complex and expensive and usually reliable, so you should first verify that all of the other components such as the compressor, fans and sensors are operating properly before condemning the control. Some manufacturers may provide specific information that will help in diagnosing a defective control.

How to inspect your refrigerator’s electronic control board:

- Unplug your fridge before beginning as you will be handling electrical components.

- Locate and remove the electronic control board from your appliance. It is inside of the refrigerator, inside of the control box, which is usually found attached to the top or side of the fridge.

- Inspect your control board for any signs of damaged foil, wear, burnt connections, arcing, or any other damage.

- If you find any of the above, you need a replacement electronic control board.",https://www.partselect.com/Repair/Refrigerator/Refrigerator-Freezer-Too-Warm/#ElectronicControl
refrigerator,Fridge and Freezer are too warm,Temperature Sensor Or Thermistor,"In models that use an Electronic Control, a thermistor or temperature sensor may be used to monitor fresh food and freezer temperatures. The sensor is a small capsule like device that is protected by a plastic shield and will vary in resistance depending on the temperature. The control board uses this information to turn on the compressor and fan circuits as well as to operate the damper control on some models. If a sensor becomes damaged or defective it may incorrectly signal the control board to turn off the compressor and fans and result in warmer than normal fresh food and freezer temperatures. Individual manufacturers may have specific information available to test these sensors, depending on the model involved, and may also provide a fault code on the electronic control board on some models.

How to test a refrigerator temperature sensor or thermistor with a multi-meter:

- Begin by unplugging your refrigerator, then remove the back panel of your refrigerator to locate the main control board.

- The thermistor(s) will be connected to the main control board. Remove the thermistor(s) from the appliance in order to test them.

- Before testing them, you will need to place the thermistor(s) in ice water for 5 minutes in order to bring the temperature to 32 degrees F. The thermistor(s) will produce different readings at different temperatures, and the suggested ranges below only apply to thermistors at a temperature of 32 degrees F.

- With the probes on the terminals and your multi-meter set to Rx1, you should receive a reading of 16,600 ohms (+/- 5 percent).

- If you receive a reading outside this range, you will need a replacement temperature sensor or thermistor.",https://www.partselect.com/Repair/Refrigerator/Refrigerator-Freezer-Too-Warm/#TemperatureSensorOr
refrigerator,Fridge and Freezer are too warm,Defrost Timer,"The defrost timer is an electro-mechanical timer that operates a set of contacts that control both the compressor circuit as well as the defrost heater circuit. Most timers will activate a defrost cycle every 8-10 hours of compressor run time. This normally occurs about once every day or two. The defrost timer will normally terminate the defrost cycle after 20 to 30 minutes and the compressor and fans will start again.

How to test a refrigerator defrost timer with a multi-meter:

- Disconnect your appliance from the power source and locate your defrost timer. It can be located behind the refrigerator's lower kickplate, in the refrigerator's control panel, or even behind the refrigerator on its back wall.

- After locating it, remove the defrost timer from the appliance in order to test it

- Using a multi-meter on the Rx1 setting, with one probe touching the common terminal (it should be labeled ""3"" or ""C""), touch the other lead to the other three remaining terminals, one at a time. Testing the first pair should produce a reading of zero, or near zero, denoting continuity. The second pair may also result in a reading of zero or near zero. Testing the third pair of terminals should produce a reading of infinity.

- If you do not receive these readings, you will need a replacement defrost timer.",https://www.partselect.com/Repair/Refrigerator/Refrigerator-Freezer-Too-Warm/#DefrostTimer
refrigerator,Fridge and Freezer are too warm,Defrost Thermostat,"The defrost thermostat is a safety thermostat in series with the defrost heater and is used to terminate the defrost cycle when the evaporator reaches a specific temperature, usually rated at 38° to 47° Fahrenheit. If the thermostat is defective and remains open circuit, then the defrost heater will not be energized and no defrosting will take place.

How to test a refrigerator’s defrost thermostat with a multi-meter:

- Unplug your refrigerator and locate your refrigerator's defrost thermostat. In freezer-on-top models, it may be located under the floor of the unit, or it could be found at the back of the freezer. If you have a side-by-side refrigerator, the defrost thermostat is found at the back of the freezer side.

- Once you have located it, remove the defrost thermostat in order to test it. You will have to remove any objects that are in your way such as the contents of the freezer, freezer shelves, icemaker parts, and the inside rear, back, or bottom panel.

- Set your multi-meter to the Rx1 setting. Place each of the probes on a thermostat wire. When your thermostat is cold, it should produce a reading of zero on your multi-meter. If it is warm (anywhere from forty to ninety degrees Fahrenheit), then this test should produce a reading of infinity.

- If the results you receive from your test differ from the ones presented here, then you will need a replacement defrost thermostat.",https://www.partselect.com/Repair/Refrigerator/Refrigerator-Freezer-Too-Warm/#DefrostThermostat
refrigerator,Fridge and Freezer are too warm,Defrost Heater,"The defrost heater is the device that melts the ice and frost from the evaporator coils. It is typically a wire filament contained in a glass or aluminum tube. There may be more than one heater depending on the shape of the evaporator.

How to test a refrigerator defrost heater with a multi-meter:

- Ensure that you have disconnected your appliance from the power source before beginning.

- Locate your defrost heater. It can be located behind the back panel of the freezer section of your refrigerator, or under the floor of your refrigerator's freezer section. Defrost heaters are commonly located beneath a refrigerator's evaporator coils. You will have to remove any objects that are in your way such as the contents of the freezer, freezer shelves, icemaker parts, and the inside rear, back, or bottom panel.

- Before you can test your defrost heater, you must remove it from your refrigerator. A defrost heater is connected by two wires, and the wires are connected with slip-on connectors. Firmly grasp these connectors and pull them off the terminals. You may need a pair of needle-nosed pliers to help you. Do not pull on the wires themselves.

- Use your multi-meter to test the heater for continuity. Set your multi-meter to the Rx1 scale and place the tester's leads on one terminal each. This should produce a reading anywhere in between zero and infinity.

- If you receive a reading of zero or infinity, you will need a replacement defrost heater.",https://www.partselect.com/Repair/Refrigerator/Refrigerator-Freezer-Too-Warm/#DefrostHeater
refrigerator,Fridge and Freezer are too warm,Condenser Fan Motor,"Most modern frost-free refrigerators will have a fan cooled condenser coil. This normally located near the compressor at the bottom rear of the refrigerator. The condenser fan circulates air through the condenser coil to remove heat. If the refrigerator is warmer than normal and the compressor is running almost continuously, then you may have a problem with the condenser fan motor. The condenser fan motor runs at the same time as the evaporator motor and the compressor. If the fan motor is not turning at all the condenser will not be able to expel the excess heat and the compressor will run almost continuously

How to inspect a refrigerator condenser fan motor:

- Begin by unplugging your refrigerator from the power source and then remove the rear access panel to locate the condenser fan motor, it is usually found at the bottom rear of the appliance. 

- Once you have located it, Look for any debris or obstructions that could be preventing the fan from moving freely. You should also inspect the condenser fan motor for any signs of wear or damage..

- If the fan motor is seized or worn, you will need a replacement condenser fan motor.",https://www.partselect.com/Repair/Refrigerator/Refrigerator-Freezer-Too-Warm/#CondenserFan
refrigerator,Door Sweating,Fresh Food & Freezer Door Gasket,"Leaky or damaged door seals can create excess moisture that is visible near the air outlet ducts or on shelves in the freezer. Damaged gaskets can also prevent doors from closing properly and may introduce enough moisture into the refrigerator that defrost issues may occur. Moisture along the edge of the door is a good indication that the gaskets are not sealing properly and should be replaced.

How to inspect refrigerator door gaskets:

- Take a piece of paper, and place it at various points along the door.

- Close the door normally and slide the paper out.

- If the paper slides out without any resistance, then you will need replacement fresh food & freezer door gasket(s).",https://www.partselect.com/Repair/Refrigerator/Door-Sweating/#FreshFoodAnd
refrigerator,Door Sweating,Dispenser Door Assembly or Flapper & Ice Door Kit,"When activated, the ice dispenser door opens so that ice can be dispensed from the icemaker. The door or flapper is normally spring loaded and will have a vinyl or foam rubber seal attached to prevent room air from entering the refrigerator. If there is moisture around the front of the dispenser or if there is signs of moisture in the ice bin area, then this would indicate that the door is not closing completely. The flapper door is hinged and is normally operated by a solenoid with a return spring and often with a damper to slow the closing action to prevent the door from closing on an ice cube.

How to inspect a refrigerator dispenser door assembly or flapper & ice door kit:

- Remove the dispenser cover in order to inspect its components.

- You should inspect the following parts for damage or wear.

- Door hinges.

- Door seal.

- Door pivot mechanism.

- Return spring.

- Solenoid plunger and linkage.

- Damper.

- If you find any issues while checking the above parts, you may need a replacement dispenser door assembly or flapper & ice door kit.",https://www.partselect.com/Repair/Refrigerator/Door-Sweating/#DispenserDoorAssembly
refrigerator,Door Sweating,Door Closure Cam Kit,"In some models of side-by-side refrigerators, closer cams on the lower door hinges are used to assist in closing the doors. The cams are made of hard plastic or nylon and have sloped shoulders on them that mate together. One cam is mounted to the bottom of the door and the other is mounted to the top of the hinge. When the door is opened, the door cam rotates up out of the hinge cam, lifting the door up and a detent allows it to stay in an open position. When closing the door, the weight of the door forces the door to pivot closed as the cams mate together. If either of these cams is broken, then the door may not close tightly. This would allow warm outside air to enter the refrigerator and cause condensation to form.

How to inspect your refrigerator’s door closure cam kit:

- Open your refrigerator door and locate the closer cams.

- Visually inspect the closer cams to verify that they are not cracked, worn, or otherwise damaged.

- If they are damaged, you will need a replacement closure cam kit.",https://www.partselect.com/Repair/Refrigerator/Door-Sweating/#DoorClosureCam
refrigerator,Door Sweating,Door Hinge & Bearing,"Fresh food and freezer doors rotate on hinges. The hinges act as bearings and the doors should pivot easily on them. If the hinges become worn or dry of lubricant, they may prevent the doors from closing completely. This could allow room air into the refrigerator and cause moisture problems. A common symptom of a faulty hinge bearing is when opening or closing the door a thumping and/or scraping noise can be heard.

How to check your refrigerator’s door hinge & bearings:

- Open and remove your refrigerator door in order to locate the hinge & bearing.

- Inspect the hinges for any signs of cracking or damage. If they are not damaged, lubricate the hinges with a food safe grease to see if that resolves the issue.

- If they are damaged or greasing the hinges does not solve the issue, you need replacement door hinges & bearings.",https://www.partselect.com/Repair/Refrigerator/Door-Sweating/#DoorHingeAnd
refrigerator,Light not working,Light Bulb Or Lamp,"Most light bulbs or lamps can be checked visually for a broken filament or can be checked with a multi-meter for continuity. You can also simply replace the bulb with a new one.

How to test a refrigerator lightbulb with a multi-meter.

- Remove the bulb from the refrigerator.

- Set your multi-meter to the Rx1 setting.

- Place one probe on the bottom of the lightbulb, and place the other on the threading of the bulb.

- If you receive a reading of infinity, you need a replacement lightbulb.",https://www.partselect.com/Repair/Refrigerator/Light-Not-Working/#LightBulbOr
refrigerator,Light not working,Light Sockets,"If you have verified that the light bulb or lamp is not defective, then you should next inspect the socket.

How to inspect the light sockets of a refrigerator:

- Unplug your refrigerator before close inspection of the socket as this is a live voltage circuit.

- Inspect the socket for discolored terminals or heat damaged sockets that may prevent good connectivity to the light bulb or lamp.

- If you find either of the above, you need a replacement light socket.",https://www.partselect.com/Repair/Refrigerator/Light-Not-Working/#LightSockets
